time,G(i),H_sun,T2m,WS10m,Int
20090221:2310,0.0,0.0,4.31,2.34,0.0
20090222:0010,0.0,0.0,4.02,2.41,0.0
20090222:0110,0.0,0.0,3.68,2.62,0.0
20090222:0210,0.0,0.0,3.78,2.76,0.0
20090222:0310,0.0,0.0,3.89,2.83,0.0
20090222:0410,0.0,0.0,4.13,2.9,0.0
20090222:0510,0.0,0.0,4.4,3.1,0.0
20090222:0610,0.0,0.0,4.53,3.17,0.0
20090222:0710,8.15,2.92,4.67,3.38,0.0
20090222:0810,64.31,11.86,5.01,3.93,0.0
20090222:0910,70.95,19.71,5.67,4.21,0.0
20090222:1010,115.41,25.9,6.28,4.14,0.0
20090222:1110,132.44,29.83,6.95,4.07,0.0
20090222:1210,78.52,31.01,7.5,4.21,0.0
20090222:1310,185.88,29.25,7.72,4.0,0.0
20090222:1410,104.06,24.83,7.9,3.66,0.0
20090222:1510,93.45,18.26,7.99,3.52,0.0
20090222:1610,96.79,10.16,8.0,3.1,0.0
20090222:1710,0.0,0.0,7.8,2.97,0.0
20090222:1810,0.0,0.0,7.52,2.83,0.0
20090222:1910,0.0,0.0,7.4,2.76,0.0
20090222:2010,0.0,0.0,7.16,2.69,0.0
20090222:2110,0.0,0.0,6.81,2.55,0.0
20090222:2210,0.0,0.0,6.59,2.69,0.0
20090222:2310,0.0,0.0,6.44,2.76,0.0
20090223:0010,0.0,0.0,6.22,2.69,0.0
20090223:0110,0.0,0.0,6.12,2.41,0.0
20090223:0210,0.0,0.0,5.98,2.41,0.0
20090223:0310,0.0,0.0,5.75,2.55,0.0
20090223:0410,0.0,0.0,5.69,2.41,0.0
20090223:0510,0.0,0.0,5.6,2.34,0.0
20090223:0610,0.0,0.0,5.42,2.28,0.0
20090223:0710,11.77,3.22,5.31,2.34,0.0
20090223:0810,83.15,12.18,5.46,2.55,0.0
20090223:0910,137.85,20.04,5.64,3.1,0.0
20090223:1010,157.75,26.25,5.94,3.72,0.0
20090223:1110,250.54,30.19,6.29,3.59,0.0
20090223:1210,51.08,31.37,7.34,3.86,0.0
20090223:1310,81.35,29.61,8.14,4.0,0.0
20090223:1410,151.42,25.15,8.06,4.21,0.0
20090223:1510,84.19,18.56,7.97,3.93,0.0
20090223:1610,61.36,10.44,7.67,3.17,0.0
20090223:1710,0.0,0.0,7.25,2.9,0.0
20090223:1810,0.0,0.0,6.86,2.69,0.0
20090223:1910,0.0,0.0,6.57,2.62,0.0
20090223:2010,0.0,0.0,6.2,2.55,0.0
20090223:2110,0.0,0.0,5.99,2.41,0.0
20090223:2210,0.0,0.0,5.61,2.28,0.0
20090223:2310,0.0,0.0,5.47,2.21,0.0
20090224:0010,0.0,0.0,5.37,2.21,0.0
20090224:0110,0.0,0.0,5.24,2.28,0.0
20090224:0210,0.0,0.0,5.29,2.28,0.0
20090224:0310,0.0,0.0,5.38,2.34,0.0
20090224:0410,0.0,0.0,5.62,2.41,0.0
20090224:0510,0.0,0.0,5.89,2.48,0.0
20090224:0610,0.0,0.0,6.08,2.41,0.0
20090224:0710,7.24,3.52,6.04,2.55,0.0
20090224:0810,93.4,12.5,6.17,2.69,0.0
20090224:0910,135.5,20.38,6.39,2.97,0.0
20090224:1010,82.3,26.6,6.45,3.31,0.0
20090224:1110,199.13,30.56,6.63,3.66,0.0
20090224:1210,57.7,31.74,6.52,3.45,0.0
20090224:1310,154.24,29.96,6.78,3.17,0.0
20090224:1410,226.81,25.48,6.9,2.97,0.0
20090224:1510,302.23,18.87,6.82,2.83,0.0
20090224:1610,376.13,10.72,6.48,2.69,0.0
20090224:1710,0.0,0.0,5.96,2.21,0.0
20090224:1810,0.0,0.0,4.96,1.93,0.0
20090224:1910,0.0,0.0,4.74,2.07,0.0
20090224:2010,0.0,0.0,4.5,1.93,0.0
20090224:2110,0.0,0.0,3.99,1.72,0.0
20090224:2210,0.0,0.0,3.61,1.66,0.0
20090224:2310,0.0,0.0,3.49,1.59,0.0
20090225:0010,0.0,0.0,3.18,1.52,0.0
20090225:0110,0.0,0.0,2.82,1.31,0.0
20090225:0210,0.0,0.0,2.38,1.17,0.0
20090225:0310,0.0,0.0,2.06,1.03,0.0
20090225:0410,0.0,0.0,2.17,0.9,0.0
20090225:0510,0.0,0.0,1.94,1.03,0.0
20090225:0610,0.0,0.0,1.62,1.1,0.0
20090225:0710,19.01,3.83,1.83,1.38,0.0
20090225:0810,169.04,12.82,2.7,0.83,0.0
20090225:0910,391.89,20.72,4.3,0.69,0.0
20090225:1010,561.65,26.96,4.96,0.34,0.0
20090225:1110,697.62,30.93,5.66,0.21,0.0
20090225:1210,817.68,32.11,6.49,0.28,0.0
20090225:1310,851.33,30.32,7.25,0.55,0.0
20090225:1410,794.43,25.81,7.81,0.76,0.0
20090225:1510,587.49,19.17,8.05,0.83,0.0
20090225:1610,392.76,11.0,7.92,0.9,0.0
20090225:1710,0.0,0.0,7.4,0.83,0.0
20090225:1810,0.0,0.0,5.84,0.83,0.0
20090225:1910,0.0,0.0,5.14,1.03,0.0
20090225:2010,0.0,0.0,5.01,0.97,0.0
20090225:2110,0.0,0.0,4.52,0.97,0.0
20090225:2210,0.0,0.0,4.4,0.48,0.0
20090225:2310,0.0,0.0,3.02,1.1,0.0
20090226:0010,0.0,0.0,0.51,1.72,0.0
20090226:0110,0.0,0.0,-0.24,1.79,0.0
20090226:0210,0.0,0.0,-0.73,1.79,0.0
20090226:0310,0.0,0.0,-0.49,1.72,0.0
20090226:0410,0.0,0.0,-0.32,1.72,0.0
20090226:0510,0.0,0.0,0.09,1.79,0.0
20090226:0610,0.0,0.0,0.33,1.93,0.0
20090226:0710,16.29,4.14,1.63,1.93,0.0
20090226:0810,101.61,13.15,3.08,1.79,0.0
20090226:0910,174.91,21.06,5.07,2.0,0.0
20090226:1010,115.41,27.32,6.43,2.55,0.0
20090226:1110,164.31,31.31,7.75,3.03,0.0
20090226:1210,206.61,32.48,8.54,3.38,0.0
20090226:1310,149.46,30.67,8.55,3.31,0.0
20090226:1410,118.25,26.14,8.82,3.72,0.0
20090226:1510,88.92,19.47,8.63,2.83,0.0
20090226:1610,80.42,11.28,8.46,2.69,0.0
20090226:1710,0.0,0.0,8.04,2.69,0.0
20090226:1810,0.0,0.0,7.53,2.69,0.0
20090226:1910,0.0,0.0,6.65,2.9,0.0
20090226:2010,0.0,0.0,6.13,2.9,0.0
20090226:2110,0.0,0.0,5.53,2.69,0.0
20090226:2210,0.0,0.0,4.92,2.55,0.0
20090226:2310,0.0,0.0,4.32,2.41,0.0
20090227:0010,0.0,0.0,4.01,2.41,0.0
20090227:0110,0.0,0.0,3.73,2.34,0.0
20090227:0210,0.0,0.0,4.13,2.28,0.0
20090227:0310,0.0,0.0,4.19,2.21,0.0
20090227:0410,0.0,0.0,4.07,2.14,0.0
20090227:0510,0.0,0.0,3.8,2.0,0.0
20090227:0610,0.0,0.0,3.51,2.07,0.0
20090227:0710,19.91,4.46,2.59,2.34,0.0
20090227:0810,91.39,13.48,3.51,2.07,0.0
20090227:0910,124.54,21.41,5.4,2.28,0.0
20090227:1010,172.34,27.69,6.89,2.48,0.0
20090227:1110,123.92,31.68,7.71,2.41,0.0
20090227:1210,118.25,32.86,8.62,2.62,0.0
20090227:1310,148.52,31.03,9.28,2.69,0.0
20090227:1410,161.61,26.48,9.61,2.76,0.0
20090227:1510,145.74,19.78,9.77,2.55,0.0
20090227:1610,133.0,11.56,9.73,2.21,0.0
20090227:1710,0.0,0.0,9.37,1.24,0.0
20090227:1810,0.0,0.0,8.75,1.17,0.0
20090227:1910,0.0,0.0,7.82,0.55,0.0
20090227:2010,0.0,0.0,7.98,0.0,0.0
20090227:2110,0.0,0.0,7.52,0.55,0.0
20090227:2210,0.0,0.0,7.09,0.62,0.0
20090227:2310,0.0,0.0,6.43,0.76,0.0
20090228:0010,0.0,0.0,5.61,0.83,0.0
20090228:0110,0.0,0.0,4.82,1.03,0.0
20090228:0210,0.0,0.0,4.16,1.31,0.0
20090228:0310,0.0,0.0,3.74,1.66,0.0
20090228:0410,0.0,0.0,3.68,1.72,0.0
20090228:0510,0.0,0.0,3.86,1.72,0.0
20090228:0610,0.0,0.0,4.0,1.66,0.0
20090228:0710,22.63,4.78,4.05,1.66,0.0
20090228:0810,102.44,13.81,5.33,1.17,0.0
20090228:0910,270.71,21.76,6.69,1.93,0.0
20090228:1010,459.23,28.06,7.91,2.07,0.0
20090228:1110,803.81,32.06,9.42,2.14,0.0
20090228:1210,839.93,33.24,10.84,2.14,0.0
20090228:1310,917.93,31.39,12.03,2.14,0.0
20090228:1410,769.29,26.81,12.81,2.28,0.0
20090228:1510,679.59,20.08,13.13,2.48,0.0
20090228:1610,397.45,11.84,12.92,2.55,0.0
20090228:1710,29.59,2.63,11.61,2.34,0.0
20090228:1810,0.0,0.0,9.77,2.69,0.0
20090228:1910,0.0,0.0,9.01,2.9,0.0
20090228:2010,0.0,0.0,8.25,2.9,0.0
20090228:2110,0.0,0.0,7.63,2.69,0.0
20090228:2210,0.0,0.0,7.03,2.34,0.0
20090228:2310,0.0,0.0,6.32,2.14,0.0
20090301:0010,0.0,0.0,5.57,2.07,0.0
20090301:0110,0.0,0.0,4.86,2.07,0.0
20090301:0210,0.0,0.0,4.41,2.0,0.0
20090301:0310,0.0,0.0,3.92,2.0,0.0
20090301:0410,0.0,0.0,3.77,2.14,0.0
20090301:0510,0.0,0.0,4.04,2.48,0.0
20090301:0610,0.0,0.0,4.67,2.76,0.0
20090301:0710,26.25,5.1,5.27,2.9,0.0
20090301:0810,120.46,14.14,6.61,3.03,0.0
20090301:0910,142.43,22.11,8.19,3.03,0.0
20090301:1010,176.04,28.43,9.46,3.59,0.0
20090301:1110,331.8,32.44,10.44,3.59,0.0
20090301:1210,511.78,33.61,11.26,3.59,0.0
20090301:1310,345.61,31.75,11.99,4.14,0.0
20090301:1410,90.81,27.14,12.07,3.86,0.0
20090301:1510,74.73,20.38,12.0,3.66,0.0
20090301:1610,53.92,12.12,11.46,2.83,0.0
20090301:1710,9.46,2.89,10.69,2.34,0.0
20090301:1810,0.0,0.0,9.8,2.14,0.0
20090301:1910,0.0,0.0,8.86,2.21,0.0
20090301:2010,0.0,0.0,8.37,2.41,0.0
20090301:2110,0.0,0.0,7.89,2.83,0.0
20090301:2210,0.0,0.0,7.44,2.9,0.0
20090301:2310,0.0,0.0,6.98,2.48,0.0
20090302:0010,0.0,0.0,6.51,2.34,0.0
20090302:0110,0.0,0.0,6.4,2.28,0.0
20090302:0210,0.0,0.0,6.25,2.34,0.0
20090302:0310,0.0,0.0,6.25,2.34,0.0
20090302:0410,0.0,0.0,6.17,2.34,0.0
20090302:0510,0.0,0.0,6.15,2.41,0.0
20090302:0610,0.0,0.0,6.07,2.41,0.0
20090302:0710,27.15,5.42,5.9,2.41,0.0
20090302:0810,151.76,14.48,6.02,2.41,0.0
20090302:0910,202.72,22.47,6.82,3.38,0.0
20090302:1010,585.21,28.8,7.89,3.52,0.0
20090302:1110,680.57,32.83,8.65,3.38,0.0
20090302:1210,528.54,33.99,9.32,3.38,0.0
20090302:1310,501.0,32.11,9.88,3.31,0.0
20090302:1410,507.08,27.47,10.24,3.24,0.0
20090302:1510,322.99,20.69,10.34,3.17,0.0
20090302:1610,196.16,12.4,9.99,2.97,0.0
20090302:1710,11.35,3.16,9.05,2.28,0.0
20090302:1810,0.0,0.0,7.68,2.21,0.0
20090302:1910,0.0,0.0,6.91,2.14,0.0
20090302:2010,0.0,0.0,6.12,2.0,0.0
20090302:2110,0.0,0.0,5.21,1.86,0.0
20090302:2210,0.0,0.0,4.17,1.79,0.0
20090302:2310,0.0,0.0,3.21,1.79,0.0
20090303:0010,0.0,0.0,2.36,1.79,0.0
20090303:0110,0.0,0.0,1.64,1.66,0.0
20090303:0210,0.0,0.0,1.03,1.72,0.0
20090303:0310,0.0,0.0,0.53,1.79,0.0
20090303:0410,0.0,0.0,0.12,1.93,0.0
20090303:0510,0.0,0.0,0.05,2.0,0.0
20090303:0610,0.0,0.0,-0.2,2.21,0.0
20090303:0710,29.87,5.75,0.19,2.0,0.0
20090303:0810,190.4,14.82,2.21,2.0,0.0
20090303:0910,406.68,22.82,5.13,2.48,0.0
20090303:1010,0.0,0.0,7.3,3.24,0.0
20090303:1110,473.41,33.21,8.71,4.41,0.0
20090303:1210,160.82,34.38,9.3,4.83,0.0
20090303:1310,387.94,32.47,9.69,5.03,0.0
20090303:1410,79.46,27.81,9.59,5.1,0.0
20090303:1510,97.44,20.99,9.59,5.52,0.0
20090303:1610,344.49,12.68,9.17,5.24,0.0
20090303:1710,103.52,3.42,8.34,4.69,0.0
20090303:1810,0.0,0.0,7.24,4.48,0.0
20090303:1910,0.0,0.0,6.78,4.9,0.0
20090303:2010,0.0,0.0,6.25,5.31,0.0
20090303:2110,0.0,0.0,6.01,5.79,0.0
20090303:2210,0.0,0.0,6.08,6.21,0.0
20090303:2310,0.0,0.0,6.03,6.69,0.0
20090304:0010,0.0,0.0,5.9,7.1,0.0
20090304:0110,0.0,0.0,5.72,7.52,0.0
20090304:0210,0.0,0.0,5.53,7.59,0.0
20090304:0310,0.0,0.0,5.27,7.59,0.0
20090304:0410,0.0,0.0,5.09,7.72,0.0
20090304:0510,0.0,0.0,4.63,7.79,0.0
20090304:0610,0.0,0.0,3.88,7.79,0.0
20090304:0710,7.24,6.08,4.09,6.97,0.0
20090304:0810,38.79,15.16,3.84,6.48,0.0
20090304:0910,66.22,23.18,3.56,5.59,0.0
20090304:1010,91.76,29.55,3.48,6.07,0.0
20090304:1110,214.06,33.6,4.11,5.17,0.0
20090304:1210,159.87,34.76,5.4,3.79,0.0
20090304:1310,93.65,32.84,6.99,3.03,0.0
20090304:1410,173.82,28.14,7.71,2.34,0.0
20090304:1510,605.1,21.3,7.93,1.72,0.0
20090304:1610,469.27,12.96,7.23,1.38,0.0
20090304:1710,52.27,3.68,5.98,1.72,0.0
20090304:1810,0.0,0.0,4.46,2.21,0.0
20090304:1910,0.0,0.0,3.54,1.86,0.0
20090304:2010,0.0,0.0,2.55,2.21,0.0
20090304:2110,0.0,0.0,1.6,2.41,0.0
20090304:2210,0.0,0.0,0.97,2.34,0.0
20090304:2310,0.0,0.0,0.51,2.34,0.0
20090305:0010,0.0,0.0,0.13,2.41,0.0
20090305:0110,0.0,0.0,-0.21,2.41,0.0
20090305:0210,0.0,0.0,-0.55,2.34,0.0
20090305:0310,0.0,0.0,-0.99,2.34,0.0
20090305:0410,0.0,0.0,-1.47,2.21,0.0
20090305:0510,0.0,0.0,-1.96,2.07,0.0
20090305:0610,0.0,0.0,-2.43,2.0,0.0
20090305:0710,35.3,6.41,-2.19,1.59,0.0
20090305:0810,107.9,15.51,0.15,2.07,0.0
20090305:0910,165.07,23.55,1.69,1.79,0.0
20090305:1010,146.63,29.93,2.84,1.31,0.0
20090305:1110,164.6,33.99,4.04,0.55,0.0
20090305:1210,180.46,35.14,5.03,0.9,0.0
20090305:1310,251.51,33.2,5.99,1.93,0.0
20090305:1410,468.63,28.48,6.85,2.9,0.0
20090305:1510,240.64,21.6,7.28,3.59,0.0
20090305:1610,368.68,13.24,7.21,3.79,0.0
20090305:1710,92.48,3.94,6.58,2.83,0.0
20090305:1810,0.0,0.0,5.67,2.83,0.0
20090305:1910,0.0,0.0,4.73,3.86,0.0
20090305:2010,0.0,0.0,4.7,4.41,0.0
20090305:2110,0.0,0.0,4.01,4.21,0.0
20090305:2210,0.0,0.0,3.21,4.0,0.0
20090305:2310,0.0,0.0,2.29,3.72,0.0
20090306:0010,0.0,0.0,1.68,3.66,0.0
20090306:0110,0.0,0.0,1.27,3.79,0.0
20090306:0210,0.0,0.0,1.34,4.0,0.0
20090306:0310,0.0,0.0,1.29,4.14,0.0
20090306:0410,0.0,0.0,1.3,4.21,0.0
20090306:0510,0.0,0.0,1.28,4.14,0.0
20090306:0610,0.0,0.0,1.0,3.93,0.0
20090306:0710,35.3,6.74,0.84,3.52,0.0
20090306:0810,205.57,15.86,2.1,3.1,0.0
20090306:0910,421.12,23.91,3.99,5.24,0.0
20090306:1010,548.79,30.31,5.28,5.72,0.0
20090306:1110,599.88,34.38,6.23,5.93,0.0
20090306:1210,712.56,35.53,6.85,5.93,0.0
20090306:1310,844.13,33.56,7.63,5.93,0.0
20090306:1410,803.09,28.81,8.26,5.59,0.0
20090306:1510,666.83,21.9,8.37,5.24,0.0
20090306:1610,345.31,13.51,8.06,4.48,0.0
20090306:1710,137.38,4.21,7.04,3.31,0.0
20090306:1810,0.0,0.0,5.17,2.76,0.0
20090306:1910,0.0,0.0,4.95,2.28,0.0
20090306:2010,0.0,0.0,3.67,2.28,0.0
20090306:2110,0.0,0.0,2.46,2.07,0.0
20090306:2210,0.0,0.0,1.07,1.86,0.0
20090306:2310,0.0,0.0,-0.05,2.07,0.0
20090307:0010,0.0,0.0,-0.55,2.21,0.0
20090307:0110,0.0,0.0,-0.58,2.28,0.0
20090307:0210,0.0,0.0,-0.63,2.21,0.0
20090307:0310,0.0,0.0,-0.1,2.14,0.0
20090307:0410,0.0,0.0,0.51,2.07,0.0
20090307:0510,0.0,0.0,1.52,1.93,0.0
20090307:0610,0.0,0.0,2.19,1.86,0.0
20090307:0710,41.63,7.08,1.53,1.72,0.0
20090307:0810,112.52,16.21,2.59,1.52,0.0
20090307:0910,147.57,24.28,4.19,1.72,0.0
20090307:1010,195.18,30.7,6.14,2.07,0.0
20090307:1110,314.85,34.77,7.86,2.34,0.0
20090307:1210,465.31,35.92,9.56,2.69,0.0
20090307:1310,387.06,33.93,10.1,2.9,0.0
20090307:1410,120.14,29.14,10.2,3.17,0.0
20090307:1510,301.08,22.2,9.77,3.45,0.0
20090307:1610,100.23,13.79,9.69,3.79,0.0
20090307:1710,33.41,4.47,8.97,3.1,0.0
20090307:1810,0.0,0.0,7.87,2.97,0.0
20090307:1910,0.0,0.0,7.5,2.9,0.0
20090307:2010,0.0,0.0,7.19,3.03,0.0
20090307:2110,0.0,0.0,6.54,3.24,0.0
20090307:2210,0.0,0.0,6.41,3.45,0.0
20090307:2310,0.0,0.0,6.34,3.72,0.0
20090308:0010,0.0,0.0,6.52,4.07,0.0
20090308:0110,0.0,0.0,7.07,4.34,0.0
20090308:0210,0.0,0.0,7.43,4.41,0.0
20090308:0310,0.0,0.0,7.76,4.41,0.0
20090308:0410,0.0,0.0,8.0,4.41,0.0
20090308:0510,0.0,0.0,8.07,4.48,0.0
20090308:0610,0.0,0.0,7.84,4.62,0.0
20090308:0710,43.44,7.42,8.29,5.1,0.0
20090308:0810,124.3,16.56,8.44,5.45,0.0
20090308:0910,124.14,24.65,8.5,5.45,0.0
20090308:1010,141.9,31.08,8.79,5.38,0.0
20090308:1110,294.01,35.17,8.69,5.1,0.0
20090308:1210,82.3,36.3,8.65,4.48,0.0
20090308:1310,244.41,34.29,8.71,3.93,0.0
20090308:1410,121.09,29.48,8.77,3.66,0.0
20090308:1510,323.11,22.51,9.39,4.21,0.0
20090308:1610,192.49,14.07,9.44,4.21,0.0
20090308:1710,130.87,4.73,8.76,4.69,0.0
20090308:1810,0.0,0.0,7.61,4.34,0.0
20090308:1910,0.0,0.0,6.92,4.97,0.0
20090308:2010,0.0,0.0,6.25,5.31,0.0
20090308:2110,0.0,0.0,5.68,5.03,0.0
20090308:2210,0.0,0.0,4.84,5.24,0.0
20090308:2310,0.0,0.0,4.39,5.79,0.0
20090309:0010,0.0,0.0,4.27,6.55,0.0
20090309:0110,0.0,0.0,4.39,6.41,0.0
20090309:0210,0.0,0.0,4.11,5.72,0.0
20090309:0310,0.0,0.0,3.76,5.1,0.0
20090309:0410,0.0,0.0,3.55,4.83,0.0
20090309:0510,0.0,0.0,3.29,4.69,0.0
20090309:0610,0.0,0.0,3.1,4.55,0.0
20090309:0710,37.11,7.76,3.62,4.48,0.0
20090309:0810,204.69,16.91,4.54,3.79,0.0
20090309:0910,362.11,25.02,5.91,5.93,0.0
20090309:1010,544.44,31.47,7.05,6.48,0.0
20090309:1110,406.81,35.56,8.22,6.76,0.0
20090309:1210,103.11,36.69,9.11,6.21,0.0
20090309:1310,523.89,34.66,9.62,6.14,0.0
20090309:1410,224.85,29.81,9.76,5.86,0.0
20090309:1510,612.54,22.81,9.37,5.52,0.0
20090309:1610,498.35,14.34,8.39,5.24,0.0
20090309:1710,153.76,4.99,7.88,4.62,0.0
20090309:1810,0.0,0.0,7.19,3.59,0.0
20090309:1910,0.0,0.0,6.05,3.45,0.0
20090309:2010,0.0,0.0,5.55,3.24,0.0
20090309:2110,0.0,0.0,5.28,3.17,0.0
20090309:2210,0.0,0.0,4.95,3.17,0.0
20090309:2310,0.0,0.0,4.5,3.17,0.0
20090310:0010,0.0,0.0,4.26,3.31,0.0
20090310:0110,0.0,0.0,4.37,3.66,0.0
20090310:0210,0.0,0.0,4.57,3.86,0.0
20090310:0310,0.0,0.0,4.68,4.07,0.0
20090310:0410,0.0,0.0,4.77,4.41,0.0
20090310:0510,0.0,0.0,4.78,4.69,0.0
20090310:0610,0.0,0.0,4.85,5.03,0.0
20090310:0710,35.0,8.1,5.34,5.72,0.0
20090310:0810,74.73,17.26,5.73,6.41,0.0
20090310:0910,51.08,25.39,6.15,7.24,0.0
20090310:1010,203.03,31.86,6.75,7.45,0.0
20090310:1110,174.06,35.96,7.35,7.17,0.0
20090310:1210,87.03,37.08,8.35,6.34,0.0
20090310:1310,163.65,35.03,10.47,6.41,0.0
20090310:1410,93.65,30.14,11.35,6.41,0.0
20090310:1510,150.39,23.11,11.08,6.14,0.0
20090310:1610,86.06,14.62,10.42,5.93,0.0
20090310:1710,77.06,5.24,9.74,5.31,0.0
20090310:1810,0.0,0.0,8.67,4.69,0.0
20090310:1910,0.0,0.0,8.14,4.41,0.0
20090310:2010,0.0,0.0,7.81,4.28,0.0
20090310:2110,0.0,0.0,7.48,4.07,0.0
20090310:2210,0.0,0.0,7.04,3.72,0.0
20090310:2310,0.0,0.0,7.2,3.31,0.0
20090311:0010,0.0,0.0,7.33,2.9,0.0
20090311:0110,0.0,0.0,7.15,2.48,0.0
20090311:0210,0.0,0.0,6.72,2.07,0.0
20090311:0310,0.0,0.0,5.94,1.79,0.0
20090311:0410,0.0,0.0,5.24,1.66,0.0
20090311:0510,0.0,0.0,4.21,1.79,0.0
20090311:0610,0.0,0.0,3.53,1.66,0.0
20090311:0710,47.16,8.45,2.86,1.38,0.0
20090311:0810,219.59,17.62,4.49,0.97,0.0
20090311:0910,404.81,25.76,6.42,1.17,0.0
20090311:1010,629.93,32.25,7.62,1.17,0.0
20090311:1110,771.32,36.36,8.68,1.03,0.0
20090311:1210,852.17,37.47,9.49,0.83,0.0
20090311:1310,641.37,35.39,10.04,0.62,0.0
20090311:1410,669.97,30.48,10.27,0.28,0.0
20090311:1510,546.16,23.41,10.38,0.28,0.0
20090311:1610,303.27,14.89,10.29,0.41,0.0
20090311:1710,176.3,5.5,9.88,0.83,0.0
20090311:1810,0.0,0.0,8.49,1.79,0.0
20090311:1910,0.0,0.0,7.16,2.14,0.0
20090311:2010,0.0,0.0,6.13,2.34,0.0
20090311:2110,0.0,0.0,5.8,2.41,0.0
20090311:2210,0.0,0.0,5.33,2.62,0.0
20090311:2310,0.0,0.0,5.28,2.69,0.0
20090312:0010,0.0,0.0,5.01,2.83,0.0
20090312:0110,0.0,0.0,4.81,2.76,0.0
20090312:0210,0.0,0.0,5.12,2.76,0.0
20090312:0310,0.0,0.0,5.64,2.76,0.0
20090312:0410,0.0,0.0,5.95,2.69,0.0
20090312:0510,0.0,0.0,6.28,2.69,0.0
20090312:0610,0.0,0.0,6.71,2.62,0.0
20090312:0710,55.2,8.79,6.94,2.55,0.0
20090312:0810,187.89,17.98,7.42,2.62,0.0
20090312:0910,150.99,26.14,8.29,2.55,0.0
20090312:1010,121.09,32.64,9.86,3.17,0.0
20090312:1110,149.46,36.76,10.8,3.38,0.0
20090312:1210,154.19,37.86,11.39,4.14,0.0
20090312:1310,175.95,35.76,11.96,4.83,0.0
20090312:1410,294.23,30.81,11.78,3.86,0.0
20090312:1510,208.35,23.71,11.75,4.0,0.0
20090312:1610,180.06,15.17,11.41,3.45,0.0
20090312:1710,45.12,5.76,11.0,3.03,0.0
20090312:1810,0.0,0.0,10.33,2.48,0.0
20090312:1910,0.0,0.0,10.0,2.14,0.0
20090312:2010,0.0,0.0,9.66,2.14,0.0
20090312:2110,0.0,0.0,9.19,2.21,0.0
20090312:2210,0.0,0.0,8.62,2.28,0.0
20090312:2310,0.0,0.0,8.05,2.28,0.0
20090313:0010,0.0,0.0,7.55,2.34,0.0
20090313:0110,0.0,0.0,6.63,2.34,0.0
20090313:0210,0.0,0.0,6.27,2.21,0.0
20090313:0310,0.0,0.0,6.55,2.0,0.0
20090313:0410,0.0,0.0,6.57,1.86,0.0
20090313:0510,0.0,0.0,6.32,1.79,0.0
20090313:0610,0.0,0.0,6.38,1.72,0.0
20090313:0710,54.09,9.14,6.66,1.38,0.0
20090313:0810,189.74,18.34,7.28,1.17,0.0
20090313:0910,270.12,26.51,7.82,1.1,0.0
20090313:1010,269.94,33.03,8.69,0.97,0.0
20090313:1110,369.02,37.16,9.66,0.83,0.0
20090313:1210,378.67,38.26,10.44,0.97,0.0
20090313:1310,664.52,36.12,11.56,1.45,0.0
20090313:1410,593.33,31.14,11.87,1.86,0.0
20090313:1510,339.56,24.01,12.07,2.14,0.0
20090313:1610,392.71,15.44,11.87,2.14,0.0
20090313:1710,218.2,6.02,11.32,1.66,0.0
20090313:1810,0.0,0.0,10.32,1.86,0.0
20090313:1910,0.0,0.0,8.92,1.86,0.0
20090313:2010,0.0,0.0,7.67,1.93,0.0
20090313:2110,0.0,0.0,6.67,2.07,0.0
20090313:2210,0.0,0.0,6.08,2.14,0.0
20090313:2310,0.0,0.0,5.8,2.14,0.0
20090314:0010,0.0,0.0,5.38,2.21,0.0
20090314:0110,0.0,0.0,5.07,2.14,0.0
20090314:0210,0.0,0.0,4.87,2.14,0.0
20090314:0310,0.0,0.0,4.66,2.21,0.0
20090314:0410,0.0,0.0,4.5,2.28,0.0
20090314:0510,0.0,0.0,4.47,2.34,0.0
20090314:0610,0.0,0.0,4.75,2.41,0.0
20090314:0710,61.09,9.49,5.7,2.21,0.0
20090314:0810,173.57,18.7,7.38,2.07,0.0
20090314:0910,330.69,26.89,9.47,2.69,0.0
20090314:1010,527.56,33.42,11.13,3.52,0.0
20090314:1110,259.46,37.56,12.57,4.41,0.0
20090314:1210,86.08,38.65,12.48,4.48,0.0
20090314:1310,0.0,0.0,11.95,4.41,0.0
20090314:1410,78.52,31.47,11.58,4.0,0.0
20090314:1510,90.81,24.3,11.25,3.24,0.0
20090314:1610,109.02,15.71,10.76,3.52,0.0
20090314:1710,59.12,6.27,10.27,3.17,0.0
20090314:1810,0.0,0.0,9.65,2.83,0.0
20090314:1910,0.0,0.0,8.93,2.9,0.0
20090314:2010,0.0,0.0,7.78,2.83,0.0
20090314:2110,0.0,0.0,6.83,2.62,0.0
20090314:2210,0.0,0.0,6.12,2.41,0.0
20090314:2310,0.0,0.0,5.39,2.34,0.0
20090315:0010,0.0,0.0,5.1,2.34,0.0
20090315:0110,0.0,0.0,4.74,2.28,0.0
20090315:0210,0.0,0.0,4.6,2.21,0.0
20090315:0310,0.0,0.0,4.53,2.14,0.0
20090315:0410,0.0,0.0,4.45,2.14,0.0
20090315:0510,0.0,0.0,4.25,2.07,0.0
20090315:0610,0.0,0.0,3.68,2.0,0.0
20090315:0710,49.66,9.84,4.03,1.59,0.0
20090315:0810,249.39,19.06,6.08,1.66,0.0
20090315:0910,471.33,27.26,8.43,2.07,0.0
20090315:1010,668.76,33.82,10.17,2.28,0.0
20090315:1110,814.53,37.96,11.35,2.48,0.0
